book_name,score,num,picturelink,publisher,publishyear,ISBN,rank
"
        死屋手记
      ",9.1,2019,https://img3.doubanio.com/view/subject/l/public/s27276912.jpg, 人民文学出版社,2011 ,9787020015207 ,711 
"
        纪伯伦诗集
      ",9.1,1762,https://img3.doubanio.com/view/subject/l/public/s6537792.jpg, 北京出版社,2006 ,9787200062588 ,707 
"
        沙与沫
      ",9.1,1607,https://img3.doubanio.com/view/subject/l/public/s6451765.jpg, 哈尔滨出版社,2004 ,9787806993262 ,543 
"
        海风中失落的血色馈赠
      ",9.1,7011,https://img3.doubanio.com/view/subject/l/public/s25808310.jpg, 上海文艺出版社,2015 ,9787532156825 ,528 
"
        极简宇宙史
      ",9.1,5851,https://img3.doubanio.com/view/subject/l/public/s28323992.jpg, 上海三联书店,2016 ,9787542654434 ,476 
"
        追忆似水年华
      ",9.2,3376,https://img3.doubanio.com/view/subject/l/public/s28453934.jpg, 译林出版社,2012 ,9787544716239 ,457 
"
        我们时代的神经症人格
      ",9,3299,https://img3.doubanio.com/view/subject/l/public/s10279533.jpg, 译林出版社,2011 ,9787544717564 ,442 
"
        受戒
      ",9.1,9634,https://img1.doubanio.com/view/subject/l/public/s4048689.jpg, 上海译文出版社,2013 ,9787532761760 ,421 
"
        局外人
      ",9.1,6658,https://img3.doubanio.com/view/subject/l/public/s27003183.jpg, 新星出版社,2013 ,9787513311762 ,386 
"
        一个叫欧维的男人决定去死
      ",9,25395,https://img3.doubanio.com/view/subject/l/public/s27115721.jpg, 四川文艺出版社,2015 ,9787541142185 ,333 
"
        新月集·飞鸟集
      ",9.1,1285,https://img3.doubanio.com/view/subject/l/public/s1257163.jpg, 北京十月文艺出版社,2009 ,9787530209820 ,284 
"
        乱世佳人上、下
      ",9.4,6082,https://img3.doubanio.com/view/subject/l/public/s3958385.jpg, 上海译文出版社,1997 ,9787532719143 ,281 
"
        温柔的夜
      ",9.1,6746,https://img3.doubanio.com/view/subject/l/public/s1203052.jpg, 北京十月文艺出版社,2009 ,9787530209721 ,213 
"
        阿拉伯的劳伦斯
      ",9.1,2869,https://img3.doubanio.com/view/subject/l/public/s1441361.jpg, 社会科学文献出版社,2014 ,9787509759233 ,196 
"
        中国哲学简史
      ",9.1,1047,https://img3.doubanio.com/view/subject/l/public/s4157180.jpg, 天津社会科学院出版社,2005 ,9787806882214 ,185 
"
        C和指针
      ",9,1379,https://img3.doubanio.com/view/subject/l/public/s1728390.jpg, 人民邮电出版社,2008 ,9787115172013 ,182 
"
        论自由
      ",9.4,2779,https://img3.doubanio.com/view/subject/l/public/s3245130.jpg, 广西师范大学出版社,2011 ,9787549505210 ,180 
"
        有匪1
      ",8.9,7775,https://img1.doubanio.com/view/subject/l/public/s1474849.jpg, 湖南文艺出版社,2016 ,9787540477950 ,165 
"
        沈从文的后半生
      ",8.9,17106,https://img1.doubanio.com/view/subject/l/public/s6781748.jpg, 江苏凤凰文艺出版社,2017 ,9787539999074 ,163 
"
        世界的凛冬
      ",9.1,4133,https://img1.doubanio.com/view/subject/l/public/s28322337.jpg, 上海文艺出版社,2016 ,9787532158690 ,156 
"
        人鼠之间
      ",9,9449,https://img1.doubanio.com/view/subject/l/public/s29331058.jpg, 江西人民出版社,2016 ,9787210082835 ,141 
"
        欲望号街车
      ",9.2,1477,https://img3.doubanio.com/view/subject/l/public/s28561075.jpg, 复旦大学出版社,2003 ,9787309036985 ,134 
"
        哲学研究
      ",9,1387,https://img3.doubanio.com/view/subject/l/public/s6158774.jpg, 上海人民出版社,2005 ,9787208054707 ,108 
"
        海伯利安
      ",9.2,4566,https://img3.doubanio.com/view/subject/l/public/s1322641.jpg, 吉林出版集团有限责任公司,2014 ,9787553452937 ,95 
"
        经济解释卷一： 科学说需求 神州增订版
      ",9,1231,https://img3.doubanio.com/view/subject/l/public/s27537735.jpg, 中信出版社,2010 ,9787508620831 ,91 
"
        罗生门
      ",9.1,4084,https://img3.doubanio.com/view/subject/l/public/s6500083.jpg, 云南人民出版社,2015 ,9787222132405 ,90 
"
        我与地坛
      ",9,43245,https://img3.doubanio.com/view/subject/l/public/s1057173.jpg, 春风文艺出版社,2002 ,9787531324362 ,79 
"
        斯·茨威格中短篇小说选
      ",9.1,2659,https://img1.doubanio.com/view/subject/l/public/s4510109.jpg, 人民文学出版社,2006 ,9787020054305 ,65 
"
        毛姆短篇小说精选集
      ",9.1,7176,https://img3.doubanio.com/view/subject/l/public/s1317602.jpg, 译林出版社,2012 ,9787544728669 ,46 
"
        阿勒泰的角落
      ",9.1,9398,https://img1.doubanio.com/view/subject/l/public/s2059828.jpg, 万卷出版公司,2010 ,9787547010105 ,30 
"
        四世同堂
      ",9.3,10034,https://img9.doubanio.com/view/subject/l/public/s24174596.jpg, 北京十月文艺出版社,2008 ,9787530209226 ,30 
"
        基督山伯爵上下册
      ",9.2,11190,https://img3.doubanio.com/view/subject/l/public/s6185540.jpg, 上海译文出版社,2007 ,9787532739981 ,30 
"
        卡尔维诺文集第五卷
      ",9,3036,https://img1.doubanio.com/view/subject/l/public/s3424257.jpg, 译林出版社,2001 ,9787806570869 ,27 
"
        艺术的故事
      ",9.6,11614,https://img1.doubanio.com/view/subject/l/public/s1672367.jpg, 广西美术出版社,2008 ,9787807463726 ,16 
